tconst	directors	writers
tt5360000	nm4048935	\N
tt5360002	nm0211412	nm1618229
tt5360004	\N	nm0121816
tt5360006	nm0211412	nm1618229
tt5360008	\N	\N
tt5360010	nm7692216	nm7692216
tt5360012	nm0211412	nm1618229
tt5360018	nm0132414	nm3507602,nm0408885
tt5360020	nm5619748	\N
tt5360022	nm0100041	nm2513718
tt5360026	nm0211412	nm1618229
tt5360028	nm1734341	nm2833429,nm1734341
tt5360030	\N	nm5031662,nm6334318
tt5360034	\N	nm0001468
tt5360038	\N	\N
tt5360040	\N	\N
tt5360044	\N	nm0001468
tt5360046	nm1855392,nm4470619,nm4474299	nm4890580,nm7063749
tt5360048	nm3246063	\N
tt5360050	nm7868042	nm7868042,nm5977845
tt5360052	nm0902667	nm0902667
tt5360054	nm3427634,nm1076048	nm1076048,nm1211523
tt5360056	nm3323203	\N
tt5360058	nm7860519	nm7860519
tt5360060	nm5267423	\N
tt5360062	nm3936036	\N
tt5360064	\N	\N
tt5360066	nm2284735	nm2284735
tt5360068	nm1318214	nm1482137,nm0715087
tt5360070	nm7886906	\N
tt5360074	\N	\N
tt5360076	nm0947319	nm2287800
tt5360078	\N	\N
tt5360080	nm7316104	nm7316104
tt5360082	nm7043516	nm7043516
tt5360084	nm7791900	\N
tt5360086	nm4767658,nm4767884,nm4927288,nm3073997,nm7645107	\N
tt5360088	\N	\N
tt5360092	nm2423816,nm2736898	nm4678539,nm7474224,nm8023771
tt5360094	nm6099950,nm2423816	nm4678539,nm7474224
tt5360096	nm3514735,nm2423816	nm4678539,nm7474224,nm8023771
tt5360098	nm2423816,nm7172242	nm4678539,nm7474224
tt5360100	nm7645107,nm3073997,nm4767884,nm4927288,nm4767658	\N
tt5360102	nm1957386	nm7868111
tt5360104	nm2423816,nm8757451	nm4678539,nm7474224,nm8023771
tt5360106	nm8349227,nm2423816	nm4678539,nm7474224,nm8023771
tt5360108	nm1781764,nm3649405	\N
tt5360110	nm2423816	nm4678539,nm7474224
